Lead_ID,Company_Name,Region,Product_Category,Units_Ordered,Unit_Price,Lead_Source,Lead_Date,Follow_Up_Date,Sales_Stage,Salesperson_ID,Customer_Type,Is_Converted,Conversion_Time_Days,Total_Revenue,Days_to_follow_up,Lead_Month,Business_Type,Years_In_Operation,Region_India,Employees_Count,Annual_Vehicle_Fleet,Uses_Digital_Inventory,Preferred_Contact_Channel,Decision_Maker_Level,Current_Supplier_Type,Monthly_Spend_Parts_INR,Top_Product_Category,Average_Order_Frequency,Delivery_Speed_Importance,Quality_Certification_Priority,Key_Pain_Point,Open_To_Private_Label,Sustainability_Interest,Payment_Terms_Preference,Willing_To_Trial_NewVendor,Trial_Quantity_Units,Max_Discount_Required_Percent,Expected_Monthly_Spend_NewVendor_INR,Lead_Source_Survey,CRM_Engagement_Score
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Faulkner-Grant,East,Engine,99.0,211.69,Trade Fair,2024-06-03,2024-06-12,Quoted,1016,Workshop,1,13.0,20957.31,9,06-2024,Workshop,15,North,>200,0,No,Email,Procurement Officer,Direct Import,55000.0,Brakes,Monthly,2,3,Price Volatility,Yes,3,Pre-paid,No,0,20,48000.0,LinkedIn,2
371ecd7b-27cd-4130-8722-9389571aa876,Price LLC,North,Steering,93.0,798.0,Referral,2024-03-13,2024-03-17,Quoted,1012,Workshop,0,,74214.0,4,03-2024,OEM Dealer,12,North,<10,0,Yes,In-app Portal,Owner,OEM,133000.0,Electrical,Ad-hoc,2,5,Warranty Issues,Yes,5,Net-15,Yes,42,8,167000.0,Trade Fair,10
1a2a73ed-562b-4f79-8374-59eef50bea63,Rivera Inc,South,Electrical,81.0,438.01,Referral,2024-02-11,2024-02-28,Negotiation,1016,Fleet Owner,0,,35478.81,17,02-2024,Parts Reseller,5,West,51-200,0,Yes,WhatsApp,Owner,Direct Import,73000.0,Suspension,Weekly,2,2,Slow Delivery,Yes,5,Net-15,Yes,39,12,73000.0,Trade Fair,3
5be6128e-18c2-4797-a142-ea7d17be3111,Boone-Davis,West,Cooling,74.0,1261.45,Cold Call,2024-06-03,2024-06-07,Closed Won,1019,Fleet Owner,1,15.0,93347.3,4,06-2024,Fleet Owner,28,East,>200,198,Yes,Email,Technician,Local Distributor,86000.0,Body,Bi-weekly,2,1,Stock-outs,Yes,4,Cash-on-Delivery,Undecided,15,24,101000.0,Cold Call,9
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,"Calderon, Williams and Bennett",South,Transmission,48.0,71.31,Cold Call,2024-05-24,2024-06-10,Closed Won,1005,Reseller,1,6.0,3422.88,17,05-2024,Workshop,20,Central,51-200,0,No,WhatsApp,Owner,Online Marketplace,39000.0,Brakes,Monthly,4,1,Price Volatility,Maybe,3,Pre-paid,Yes,31,11,45000.0,Cold Call,9
759cde66-bacf-43d0-8b1f-9163ce9ff57f,"Morrison, Russo and Lopez",West,Transmission,77.0,599.69,Website,2024-03-01,2024-03-04,Quoted,1012,Workshop,1,15.0,46176.130000000005,3,03-2024,Workshop,10,South,>200,0,Yes,WhatsApp,Technician,OEM,53000.0,Filters,Monthly,2,2,Slow Delivery,Maybe,5,Pre-paid,No,0,21,47000.0,Company Website,2
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,"Ramsey, Hansen and Mendoza",North,Cooling,49.0,539.15,Trade Fair,2024-03-11,2024-03-21,Inquiry,1017,Fleet Owner,1,13.0,26418.35,10,03-2024,Parts Reseller,13,North,<10,0,Yes,Email,Manager,Local Distributor,70000.0,Body,Monthly,4,2,Quality Variance,Yes,3,Cash-on-Delivery,No,0,15,59000.0,Referral,1
4b0dbb41-8d52-48f1-942c-3fe860e7a113,Turner-Stout,South,Suspension,60.0,78.03,Cold Call,2024-06-17,2024-07-06,Closed Won,1012,Fleet Owner,1,10.0,4681.8,19,06-2024,Workshop,22,North-East,51-200,0,Yes,In-app Portal,Manager,Local Distributor,36000.0,Body,Monthly,4,2,Price Volatility,No,4,Pre-paid,No,0,12,28000.0,Trade Fair,8
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,Giles Ltd,North,Steering,88.0,230.33,Referral,2024-04-25,2024-05-13,Inquiry,1001,Fleet Owner,1,9.0,20269.04,18,04-2024,Fleet Owner,22,North,>200,113,Yes,In-app Portal,Owner,Local Distributor,77000.0,Engine,Weekly,4,5,Warranty Issues,Maybe,1,Net-30,Yes,10,15,74000.0,Trade Fair,9
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,Burgess Group,West,Cooling,86.0,649.78,Website,2024-03-25,2024-04-02,Negotiation,1005,Workshop,1,6.0,55881.079999999994,8,03-2024,Parts Reseller,14,North,51-200,0,Yes,In-app Portal,Procurement Officer,Local Distributor,60000.0,Body,Bi-weekly,3,2,Slow Delivery,Maybe,2,Cash-on-Delivery,No,0,5,50000.0,LinkedIn,8
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Dominguez Ltd,East,Filters,61.0,764.65,Cold Call,2024-04-05,2024-04-09,Closed Won,1010,Reseller,1,10.0,46643.65,4,04-2024,Fleet Owner,10,South,>200,126,Yes,Email,Procurement Officer,Local Distributor,58000.0,Suspension,Bi-weekly,5,4,Quality Variance,Yes,5,Net-30,Yes,30,11,71000.0,Cold Call,1
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,Sanders and Sons,East,Filters,25.0,636.22,Trade Fair,2024-03-08,2024-03-14,Closed Won,1018,Fleet Owner,1,4.0,15905.5,6,03-2024,Workshop,20,West,11-50,0,Yes,Email,Manager,Local Distributor,32000.0,Brakes,Weekly,2,4,Stock-outs,Yes,3,Pre-paid,No,0,7,26000.0,LinkedIn,7
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,"Morris, Campbell and Owens",South,Engine,72.0,819.86,Trade Fair,2024-04-25,2024-05-08,Closed Won,1004,Workshop,1,7.0,59029.92,13,04-2024,OEM Dealer,20,Central,51-200,0,Yes,WhatsApp,Technician,OEM,165000.0,Brakes,Bi-weekly,5,1,Stock-outs,Maybe,3,Cash-on-Delivery,Yes,36,19,160000.0,Cold Call,4
7412b293-4729-4739-a14f-f3d719db3ad0,"Howard, Green and Hunt",North,Transmission,54.0,912.94,Website,2024-02-19,2024-03-17,Closed Lost,1005,Fleet Owner,1,6.0,49298.76,27,02-2024,Fleet Owner,18,East,11-50,304,Yes,In-app Portal,Manager,Local Distributor,85000.0,Body,Bi-weekly,2,2,Quality Variance,Yes,5,Pre-paid,Undecided,9,15,81000.0,Cold Call,10
29a3b2e9-5d65-4441-9588-42dea2bc372f,Owens-Lang,North,Suspension,37.0,64.39,Website,2024-06-27,2024-07-02,Negotiation,1004,Fleet Owner,1,12.0,2382.43,5,06-2024,Fleet Owner,3,East,>200,46,Yes,WhatsApp,Procurement Officer,OEM,106000.0,Brakes,Ad-hoc,1,3,Price Volatility,Yes,2,Net-15,Undecided,10,10,107000.0,Referral,9
ab9099a4-35a2-40ae-9af3-05535ec42e08,"Harrison, Franco and Rocha",South,Suspension,95.0,722.94,Website,2024-03-11,2024-03-23,Closed Won,1005,Reseller,0,,68679.3,12,03-2024,Workshop,15,North,<10,0,No,WhatsApp,Manager,Direct Import,15000.0,Body,Bi-weekly,5,3,Stock-outs,No,2,Pre-paid,Yes,33,21,17000.0,Referral,8
aefcfad8-efc8-4849-b3aa-7efe4458a885,Edwards-Williams,East,Electrical,11.0,1447.07,Website,2024-03-05,2024-03-31,Closed Won,1001,Fleet Owner,1,12.0,15917.769999999999,26,03-2024,Parts Reseller,19,South,11-50,0,No,In-app Portal,Procurement Officer,Direct Import,80000.0,Brakes,Ad-hoc,5,1,Stock-outs,Yes,1,Net-30,Yes,33,11,91000.0,Referral,5
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,Figueroa Inc,West,Electrical,74.0,802.6,Website,2024-01-30,2024-02-10,Inquiry,1013,Fleet Owner,1,4.0,59392.4,11,01-2024,Workshop,29,West,<10,0,Yes,Email,Owner,OEM,38000.0,Electrical,Monthly,1,4,Price Volatility,Maybe,2,Cash-on-Delivery,Yes,31,24,48000.0,Trade Fair,4
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,Tran-Silva,South,Cooling,19.0,1032.44,Referral,2024-01-12,2024-02-07,Inquiry,1009,Workshop,1,6.0,19616.36,26,01-2024,Workshop,16,North,51-200,0,No,WhatsApp,Manager,OEM,35000.0,Suspension,Monthly,3,2,Price Volatility,Yes,3,Cash-on-Delivery,No,0,15,35000.0,Cold Call,9
451b4cf3-6123-4df7-b656-af7229d4beef,"Butler, Hernandez and Rivera",West,Suspension,86.0,502.2,Referral,2024-03-01,2024-03-02,Quoted,1009,Workshop,1,15.0,43189.2,1,03-2024,Parts Reseller,11,South,<10,0,Yes,In-app Portal,Procurement Officer,OEM,73000.0,Engine,Ad-hoc,3,2,Stock-outs,No,4,Pre-paid,No,0,23,79000.0,Cold Call,2
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,Hudson-Sanchez,East,Cooling,36.0,1172.29,Cold Call,2024-04-03,2024-04-12,Negotiation,1014,Reseller,1,4.0,42202.44,9,04-2024,Fleet Owner,17,South,11-50,52,Yes,In-app Portal,Procurement Officer,Local Distributor,79000.0,Filters,Ad-hoc,2,4,Stock-outs,Maybe,2,Net-15,No,0,25,60000.0,Referral,2
5304317f-af42-412f-b838-b3268e944239,"Pena, Cohen and Scott",North,Steering,79.0,1170.74,Trade Fair,2024-01-01,2024-01-03,Closed Won,1009,Workshop,1,15.0,92488.46,2,01-2024,OEM Dealer,6,North,>200,0,No,WhatsApp,Manager,Online Marketplace,56000.0,Body,Weekly,3,5,Stock-outs,Maybe,3,Pre-paid,Undecided,12,8,54000.0,Referral,1
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,Levy-May,East,Cooling,24.0,805.88,Referral,2024-01-14,2024-02-09,Closed Lost,1020,Workshop,1,14.0,19341.12,26,01-2024,Workshop,3,West,11-50,0,No,Email,Procurement Officer,Local Distributor,49000.0,Filters,Bi-weekly,4,5,Slow Delivery,Maybe,2,Net-15,Yes,32,6,60000.0,Cold Call,6
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Murray-Oconnor,South,Electrical,92.0,1465.22,Referral,2024-05-12,2024-06-05,Inquiry,1005,Reseller,0,,134800.24,24,05-2024,Workshop,21,East,<10,0,No,WhatsApp,Procurement Officer,OEM,42000.0,Other,Monthly,3,5,Quality Variance,Maybe,5,Net-15,No,0,21,36000.0,Company Website,1
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,Jackson-Cortez,North,Transmission,19.0,232.05,Referral,2024-05-06,2024-05-18,Inquiry,1003,Fleet Owner,0,,4408.95,12,05-2024,Parts Reseller,30,North,<10,0,Yes,Email,Manager,OEM,65000.0,Body,Ad-hoc,3,3,Price Volatility,Yes,3,Cash-on-Delivery,Yes,23,6,81000.0,Company Website,6
9132b63e-f162-47e4-a9c3-49e03602f8ac,White-Preston,South,Cooling,52.0,74.57,Cold Call,2024-06-16,2024-07-01,Closed Lost,1004,Reseller,0,,3877.6399999999994,15,06-2024,Workshop,26,West,<10,0,No,In-app Portal,Owner,OEM,30000.0,Electrical,Weekly,5,1,Warranty Issues,Maybe,1,Cash-on-Delivery,No,0,19,28000.0,Cold Call,2
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,"Bernard, Warren and Combs",South,Brakes,75.0,1166.73,Website,2024-05-30,2024-06-19,Inquiry,1006,Workshop,1,10.0,87504.75,20,05-2024,Workshop,18,East,>200,0,Yes,Email,Procurement Officer,Online Marketplace,25000.0,Other,Bi-weekly,2,2,Slow Delivery,Maybe,4,Financing,Yes,34,4,33000.0,LinkedIn,9
e27a984d-6548-41d0-bfcd-9eb1a7cad415,Landry Ltd,East,Transmission,25.0,1220.38,Cold Call,2024-01-21,2024-01-24,Negotiation,1000,Reseller,1,9.0,30509.500000000004,3,01-2024,Parts Reseller,2,East,51-200,0,Yes,In-app Portal,Technician,Local Distributor,74000.0,Body,Weekly,4,2,Quality Variance,Yes,2,Net-15,Undecided,18,22,86000.0,Referral,5
24933b83-7577-40a9-a491-f0b2ea1fca65,Duran Group,South,Suspension,46.0,224.3,Trade Fair,2024-03-19,2024-03-26,Negotiation,1019,Fleet Owner,0,,10317.800000000001,7,03-2024,Workshop,30,Central,>200,0,Yes,Email,Technician,Local Distributor,56000.0,Filters,Weekly,2,2,Price Volatility,Yes,5,Pre-paid,Yes,21,17,71000.0,LinkedIn,1
beb79919-3f22-4af8-a3be-d01d43cf2fde,Kirby and Sons,East,Suspension,30.0,435.1,Trade Fair,2024-05-15,2024-05-16,Negotiation,1008,Reseller,1,9.0,13053.0,1,05-2024,Parts Reseller,14,South,<10,0,No,In-app Portal,Procurement Officer,Local Distributor,74000.0,Body,Ad-hoc,5,2,Warranty Issues,Yes,2,Pre-paid,Yes,30,13,82000.0,LinkedIn,7
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,Mann Inc,North,Cooling,18.0,75.45,Trade Fair,2024-02-14,2024-03-08,Inquiry,1000,Workshop,1,13.0,1358.1000000000001,23,02-2024,Workshop,9,Central,11-50,0,Yes,WhatsApp,Technician,Direct Import,26000.0,Brakes,Weekly,2,1,Slow Delivery,No,5,Financing,Yes,27,11,30000.0,Company Website,4
956269f0-e5d7-4875-adad-d6c795a76d79,Wagner LLC,East,Transmission,61.0,475.3,Trade Fair,2024-05-23,2024-06-11,Inquiry,1014,Workshop,1,5.0,28993.3,19,05-2024,Fleet Owner,27,South,<10,171,No,WhatsApp,Technician,Local Distributor,95000.0,Body,Ad-hoc,5,1,Quality Variance,No,4,Financing,Undecided,14,16,97000.0,Trade Fair,3
ff50bde4-3825-47b8-9cab-cc97663f1c97,Williamson Ltd,North,Electrical,41.0,1171.06,Referral,2024-06-26,2024-07-06,Inquiry,1015,Reseller,1,13.0,48013.46,10,06-2024,Fleet Owner,23,South,11-50,315,Yes,WhatsApp,Procurement Officer,Online Marketplace,89000.0,Other,Ad-hoc,4,4,Price Volatility,Yes,1,Net-15,No,0,10,68000.0,Company Website,7
7e570ddf-8270-40a8-a369-b584ff5e9ff0,"Durham, Hopkins and Smith",East,Electrical,62.0,801.04,Referral,2024-05-08,2024-05-19,Negotiation,1015,Fleet Owner,0,,49664.479999999996,11,05-2024,Workshop,23,North,51-200,0,No,In-app Portal,Owner,Online Marketplace,49000.0,Other,Ad-hoc,2,3,Price Volatility,Yes,4,Financing,Yes,39,10,65000.0,LinkedIn,10
dc713d96-0c0f-4195-817a-f08a1745d6d8,"Arnold, Smith and Moreno",West,Filters,25.0,554.74,Cold Call,2024-03-05,2024-03-13,Negotiation,1017,Reseller,1,12.0,13868.5,8,03-2024,Fleet Owner,9,West,>200,270,No,Email,Procurement Officer,Local Distributor,104000.0,Engine,Weekly,4,1,Stock-outs,No,4,Net-30,Yes,46,5,129000.0,Company Website,10
28f49481-a0a0-4dc4-a720-9bdf1c11f735,Nichols-Mitchell,West,Suspension,86.0,589.02,Website,2024-04-13,2024-04-22,Quoted,1000,Fleet Owner,0,,50655.72,9,04-2024,Fleet Owner,30,South,11-50,244,No,Phone,Procurement Officer,Online Marketplace,23000.0,Suspension,Weekly,2,3,Stock-outs,Yes,3,Pre-paid,Yes,35,4,26000.0,Cold Call,5
98ae4334-6c12-4ce8-ae34-0454cac5b68c,"Li, Craig and Drake",South,Engine,73.0,51.96,Trade Fair,2024-03-31,2024-04-08,Closed Won,1019,Fleet Owner,1,3.0,3793.08,8,03-2024,Workshop,14,South,>200,0,Yes,Phone,Manager,OEM,45000.0,Filters,Bi-weekly,2,5,Stock-outs,Maybe,1,Net-15,Undecided,19,23,53000.0,Trade Fair,9
988c24c9-61b1-4d22-a280-1c4510435a10,Rodriguez Inc,East,Filters,7.0,484.71,Cold Call,2024-04-26,2024-05-02,Closed Lost,1015,Reseller,1,15.0,3392.97,6,04-2024,Workshop,16,East,51-200,0,Yes,Email,Technician,Local Distributor,30000.0,Suspension,Monthly,2,3,Quality Variance,Yes,3,Net-15,Undecided,5,19,30000.0,Referral,3
405cacec-8774-49a9-b7d2-1e02ff01cf99,"Hernandez, Lee and Fox",East,Electrical,91.0,987.37,Referral,2024-06-08,2024-06-26,Inquiry,1007,Fleet Owner,1,14.0,89850.67,18,06-2024,Parts Reseller,23,South,11-50,0,Yes,In-app Portal,Technician,OEM,45000.0,Other,Ad-hoc,4,2,Price Volatility,Yes,4,Cash-on-Delivery,Undecided,18,11,39000.0,Company Website,9
f143262f-dc5c-4eed-8da0-365bf89897b9,Adams-Sanders,North,Transmission,94.0,1462.58,Referral,2024-06-25,2024-07-09,Negotiation,1006,Workshop,1,11.0,137482.52,14,06-2024,Workshop,20,South,>200,0,Yes,WhatsApp,Manager,Local Distributor,38000.0,Electrical,Bi-weekly,2,2,Stock-outs,Yes,1,Pre-paid,Undecided,5,21,44000.0,Company Website,10
1d53434b-b881-49b9-ae27-0da702f06b90,Chung-Stevens,South,Steering,41.0,1278.24,Website,2024-04-22,2024-05-06,Closed Won,1018,Reseller,0,,52407.840000000004,14,04-2024,Workshop,6,North,11-50,0,Yes,Email,Manager,OEM,44000.0,Brakes,Weekly,3,2,Warranty Issues,Maybe,2,Pre-paid,Yes,15,15,44000.0,LinkedIn,6
c0398710-8976-4334-a281-7efdae849217,Branch and Sons,East,Electrical,92.0,84.21,Website,2024-05-01,2024-05-25,Quoted,1015,Fleet Owner,0,,7747.32,24,05-2024,Workshop,10,South,<10,0,Yes,In-app Portal,Owner,OEM,24000.0,Engine,Ad-hoc,3,2,Warranty Issues,Maybe,4,Cash-on-Delivery,Yes,37,15,27000.0,Referral,6
5715bd6f-a416-4293-84c2-e2e3444ea7c8,Sutton-Abbott,South,Transmission,53.0,1352.91,Website,2024-01-25,2024-02-13,Quoted,1014,Workshop,0,,71704.23000000001,19,01-2024,Fleet Owner,11,South,>200,223,Yes,Email,Owner,OEM,106000.0,Suspension,Ad-hoc,1,5,Price Volatility,Yes,3,Net-15,No,0,2,97000.0,Cold Call,6
287d06ca-6f4c-469a-8b22-d3081c8eaee9,"Frey, Santos and Johnson",West,Filters,23.0,1185.64,Cold Call,2024-03-12,2024-04-06,Closed Won,1013,Reseller,0,,27269.72,25,03-2024,Parts Reseller,29,South,>200,0,Yes,In-app Portal,Manager,Local Distributor,83000.0,Engine,Monthly,2,5,Slow Delivery,Yes,5,Net-15,No,0,13,78000.0,LinkedIn,1
b8db0672-f42d-47cc-80d4-af5974273ca3,Gray-Tran,East,Suspension,93.0,1181.55,Referral,2024-06-23,2024-07-09,Closed Lost,1014,Workshop,1,8.0,109884.15,16,06-2024,Fleet Owner,22,South,<10,62,Yes,Email,Manager,Local Distributor,91000.0,Brakes,Monthly,2,2,Warranty Issues,Yes,2,Financing,Yes,23,2,114000.0,Referral,9
f8cda88b-436d-46e2-b83c-fe0be037e5ed,Walsh Ltd,East,Electrical,89.0,714.09,Referral,2024-04-27,2024-05-22,Closed Lost,1002,Workshop,0,,63554.01,25,04-2024,Fleet Owner,11,East,>200,146,No,Email,Manager,Local Distributor,70000.0,Body,Ad-hoc,2,5,Quality Variance,Yes,4,Financing,No,0,17,67000.0,Referral,8
81f76d1c-2dbc-4134-830f-f46e8026695f,Miller Group,South,Cooling,16.0,627.11,Website,2024-06-16,2024-06-19,Negotiation,1019,Workshop,1,7.0,10033.76,3,06-2024,Parts Reseller,23,North-East,>200,0,Yes,In-app Portal,Owner,Local Distributor,53000.0,Filters,Bi-weekly,5,5,Stock-outs,No,3,Net-30,Yes,12,1,64000.0,Referral,9
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,"Mueller, Knight and Hodge",East,Transmission,65.0,489.23,Trade Fair,2024-02-24,2024-03-11,Closed Won,1019,Fleet Owner,1,10.0,31799.95,16,02-2024,Parts Reseller,23,West,>200,0,No,Email,Manager,Direct Import,88000.0,Other,Weekly,2,1,Quality Variance,Yes,2,Financing,Yes,17,13,93000.0,Referral,2
81f631d4-a392-41a7-9777-a4774c66e0a8,Jacobson Inc,South,Suspension,45.0,145.26,Website,2024-04-12,2024-05-07,Quoted,1000,Reseller,1,6.0,6536.7,25,04-2024,Workshop,12,West,11-50,0,No,Phone,Procurement Officer,Direct Import,25000.0,Filters,Monthly,3,3,Stock-outs,Yes,5,Financing,Yes,50,9,30000.0,Company Website,9
5fb8d16c-2720-497d-b2eb-d6899be578c7,Lewis Ltd,East,Steering,37.0,380.94,Cold Call,2024-04-20,2024-05-01,Closed Won,1007,Reseller,1,11.0,14094.78,11,04-2024,Workshop,13,Central,51-200,0,Yes,WhatsApp,Manager,OEM,51000.0,Brakes,Bi-weekly,4,4,Stock-outs,Yes,4,Net-30,Undecided,10,3,45000.0,LinkedIn,4
f4188f3f-8a14-4e62-a95b-4715c333e861,"Alvarez, Williams and Jones",North,Steering,54.0,407.58,Website,2024-01-14,2024-02-02,Negotiation,1017,Fleet Owner,1,15.0,22009.32,19,01-2024,Parts Reseller,27,North-East,51-200,0,No,Phone,Procurement Officer,Local Distributor,67000.0,Brakes,Ad-hoc,4,3,Warranty Issues,Yes,3,Financing,No,0,12,70000.0,Cold Call,9
eb2263dd-87c5-421e-ac24-a3c5c754108f,Lam-Elliott,South,Engine,72.0,751.91,Website,2024-04-08,2024-04-17,Inquiry,1008,Reseller,1,3.0,54137.52,9,04-2024,Parts Reseller,17,West,51-200,0,Yes,Email,Manager,Local Distributor,68000.0,Body,Ad-hoc,4,3,Slow Delivery,Yes,2,Pre-paid,No,0,5,53000.0,LinkedIn,10
7d154385-52fb-443b-9954-6eb400257ad1,White LLC,East,Transmission,75.0,1133.79,Cold Call,2024-02-03,2024-02-14,Closed Won,1019,Workshop,0,,85034.25,11,02-2024,Parts Reseller,5,Central,51-200,0,No,Phone,Procurement Officer,Online Marketplace,40000.0,Electrical,Bi-weekly,3,3,Quality Variance,Yes,5,Pre-paid,Undecided,11,6,41000.0,Company Website,9
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Ali PLC,West,Filters,90.0,737.02,Website,2024-02-23,2024-03-10,Negotiation,1020,Reseller,1,4.0,66331.8,16,02-2024,Fleet Owner,22,Central,51-200,50,Yes,Email,Procurement Officer,Local Distributor,87000.0,Suspension,Bi-weekly,5,4,Price Volatility,Yes,1,Financing,Undecided,8,23,79000.0,Referral,10
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,Goodwin Ltd,East,Engine,37.0,133.87,Referral,2024-03-18,2024-03-27,Quoted,1017,Fleet Owner,1,10.0,4953.1900000000005,9,03-2024,Parts Reseller,18,East,51-200,0,Yes,WhatsApp,Technician,Online Marketplace,81000.0,Engine,Bi-weekly,5,2,Warranty Issues,Yes,1,Pre-paid,Yes,27,9,86000.0,Trade Fair,2
